,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logisticregression__C,param_logisticregression__penalty,param_logisticregression__random_state,param_logisticregression__solver,param_logisticregression__max_iter,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision
0,0.099025011,0.007857423,0.018335485,0.003013371,0.0001,l1,100,liblinear,,"{'logisticregression__C': 0.0001, 'logisticregression__penalty': 'l1', 'logisticregression__random_state': 100, 'logisticregression__solver': 'liblinear'}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,38,0.418004941,0.414762199,0.424953675,0.416924027,0.427733169,0.427733169,0.423718345,0.423409512,0.428196418,0.411056208,0.421649166,0.005748436,39,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,39
1,0.121681976,0.014723274,0.022546053,0.003986689,0.000263665,l1,100,liblinear,,"{'logisticregression__C': 0.00026366508987303583, 'logisticregression__penalty': 'l1', 'logisticregression__random_state': 100, 'logisticregression__solver': 'liblinear'}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,38,0.418004941,0.414762199,0.424953675,0.416924027,0.427733169,0.427733169,0.423718345,0.423409512,0.428196418,0.411056208,0.421649166,0.005748436,39,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,39
2,0.408529782,0.09132696,0.02307291,0.00261154,0.000695193,l1,100,liblinear,,"{'logisticregression__C': 0.0006951927961775605, 'logisticregression__penalty': 'l1', 'logisticregression__random_state': 100, 'logisticregression__solver': 'liblinear'}",0.499914287,0.5,0.499976582,0.500289744,0.500186058,0.500049291,0.498467474,0.5,0.5,0.5,0.499888344,0.000485063,40,0.581995059,0.585237801,0.575046325,0.583075973,0.572266831,0.572266831,0.576281655,0.576590488,0.571803582,0.588943792,0.578350834,0.005748436,24,0.735773548,0.738359634,0.730196078,0.736636754,0.727951287,0.727951287,0.731191223,0.731439765,0.727576383,0.741302235,0.732837819,0.004607287,2,1,1,1,1,1,1,1,1,1,1,1,0,1,0.581995059,0.585237801,0.575046325,0.583075973,0.572266831,0.572266831,0.576281655,0.576590488,0.571803582,0.588943792,0.578350834,0.005748436,34
3,0.624129629,0.292294405,0.02594943,0.003410736,0.001832981,l1,100,liblinear,,"{'logisticregression__C': 0.0018329807108324356, 'logisticregression__penalty': 'l1', 'logisticregression__random_state': 100, 'logisticregression__solver': 'liblinear'}",0.49912768,0.500492439,0.499536076,0.500155956,0.49957645,0.501007879,0.499612132,0.500387845,0.502404703,0.500119424,0.500242059,0.000891628,37,0.581995059,0.585237801,0.575046325,0.583075973,0.572266831,0.572266831,0.576281655,0.576590488,0.571803582,0.588943792,0.578350834,0.005748436,24,0.735773548,0.738359634,0.730196078,0.736636754,0.727951287,0.727951287,0.731191223,0.731439765,0.727576383,0.741302235,0.732837819,0.004607287,2,1,1,1,1,1,1,1,1,1,1,1,0,1,0.581995059,0.585237801,0.575046325,0.583075973,0.572266831,0.572266831,0.576281655,0.576590488,0.571803582,0.588943792,0.578350834,0.005748436,34
4,0.790402412,0.242648918,0.029004169,0.003324057,0.00483293,l1,100,liblinear,,"{'logisticregression__C': 0.004832930238571752, 'logisticregression__penalty': 'l1', 'logisticregression__random_state': 100, 'logisticregression__solver': 'liblinear'}",0.519873155,0.5262004,0.522541511,0.529303937,0.525067117,0.522955214,0.52494681,0.524645099,0.520532031,0.520107717,0.523617299,0.002852833,36,0.581995059,0.585237801,0.575046325,0.583075973,0.572266831,0.572266831,0.576127239,0.576590488,0.571803582,0.588171711,0.578258184,0.005614811,28,0.735773548,0.738359634,0.730196078,0.736636754,0.727951287,0.727951287,0.731066915,0.731439765,0.727576383,0.740589437,0.732754109,0.004484049,6,1,1,1,1,1,1,0.999732047,1,1,0.998164657,0.99978967,0.000547531,6,0.581995059,0.585237801,0.575046325,0.583075973,0.572266831,0.572266831,0.576216216,0.576590488,0.571803582,0.588680996,0.57831801,0.005702727,38
5,0.864071202,0.185848999,0.02987752,0.002705817,0.01274275,l1,100,liblinear,,"{'logisticregression__C': 0.012742749857031334, 'logisticregression__penalty': 'l1', 'logisticregression__random_state': 100, 'logisticregression__solver': 'liblinear'}",0.571849581,0.57507672,0.575298865,0.575228931,0.568947419,0.569850287,0.575032166,0.563776904,0.567239416,0.566362086,0.570866237,0.004039124,35,0.58446572,0.588017295,0.576899321,0.584156887,0.575046325,0.571649166,0.577516986,0.576281655,0.577516986,0.592032119,0.580358246,0.006124004,19,0.730980706,0.734104046,0.72865914,0.730457412,0.726169154,0.72114998,0.725246033,0.725435261,0.719844358,0.730187908,0.7272234,0.004269949,9,0.970018573,0.97176781,0.987916219,0.966366525,0.984619536,0.967889908,0.967577706,0.970808784,0.949230354,0.93733613,0.967353155,0.014107701,8,0.586461341,0.589846252,0.577188579,0.587127916,0.575189155,0.574655559,0.579987151,0.579073482,0.579746,0.598026096,0.582730153,0.007074193,32
6,0.943996167,0.273041072,0.030604267,0.004968963,0.033598183,l1,100,liblinear,,"{'logisticregression__C': 0.03359818286283781, 'logisticregression__penalty': 'l1', 'logisticregression__random_state': 100, 'logisticregression__solver': 'liblinear'}",0.636509191,0.644774134,0.642962525,0.636590503,0.63746028,0.6309954,0.645691545,0.629764359,0.636560117,0.636889153,0.637819721,0.005040321,7,0.608091414,0.612723904,0.601142681,0.606856084,0.604848672,0.59697344,0.608245831,0.606547251,0.598208771,0.614422483,0.605806053,0.005415941,9,0.726626454,0.731420004,0.720303194,0.727467352,0.723977996,0.716057441,0.727116274,0.726550762,0.720935221,0.734446453,0.725490115,0.005130913,10,0.894932343,0.901055409,0.893125671,0.899894068,0.905558554,0.888019428,0.9056806,0.906534547,0.907642452,0.905348715,0.900779179,0.006359312,10,0.611604714,0.61553713,0.603520232,0.610492275,0.603054807,0.599890631,0.607367475,0.606196275,0.59793631,0.617820719,0.607342057,0.006191509,29
7,0.945594692,0.282870606,0.031796527,0.002245406,0.088586679,l1,100,liblinear,,"{'logisticregression__C': 0.08858667904100823, 'logisticregression__penalty': 'l1', 'logisticregression__random_state': 100, 'logisticregression__solver': 'liblinear'}",0.65369565,0.660171769,0.664318441,0.654062892,0.653702942,0.647658203,0.658719092,0.645041113,0.656250685,0.657926805,0.655154759,0.005428134,2,0.626158122,0.63712168,0.629400865,0.630172946,0.621371217,0.615503397,0.626466955,0.625386041,0.619363805,0.630790611,0.626173564,0.005929445,2,0.722203098,0.730009191,0.725148878,0.724870764,0.717836594,0.710666977,0.721858112,0.721085307,0.718253515,0.727023633,0.721895607,0.005178198,11,0.834969488,0.838258575,0.850161117,0.835540254,0.841608203,0.825148408,0.841103966,0.839850027,0.848501215,0.834819088,0.838996034,0.006818406,12,0.636271735,0.646520147,0.632188498,0.640089268,0.625802568,0.624081633,0.632225579,0.63174859,0.622671423,0.64388271,0.633548215,0.00774615,12
8,1.81155889,0.578896958,0.033753753,0.00117454,0.233572147,l1,100,liblinear,,"{'logisticregression__C': 0.23357214690901212, 'logisticregression__penalty': 'l1', 'logisticregression__random_state': 100, 'logisticregression__solver': 'liblinear'}",0.654985948,0.659847897,0.660307297,0.648471045,0.65775881,0.651042217,0.659426374,0.649540642,0.65609701,0.657080049,0.655455729,0.004128227,1,0.63001853,0.638974676,0.627856702,0.628474367,0.631562693,0.626003706,0.629092032,0.629400865,0.624922792,0.638974676,0.630528104,0.004589075,1,0.713739546,0.720134068,0.712616265,0.713775874,0.713014193,0.706495395,0.71219746,0.711538462,0.710316041,0.72272296,0.713655026,0.004412826,14,0.792517909,0.793667546,0.80236305,0.794491525,0.799784134,0.786562331,0.796355841,0.792715587,0.8042128,0.798898794,0.796156952,0.005002392,14,0.649206694,0.65907099,0.640926641,0.647948164,0.643229167,0.641223053,0.644126571,0.645442652,0.636052969,0.659809441,0.646703634,0.007277899,2
9,4.613144374,2.096950195,0.031519151,0.002449742,0.615848211,l1,100,liblinear,,"{'logisticregression__C': 0.615848211066026, 'logisticregression__penalty': 'l1', 'logisticregression__random_state': 100, 'logisticregression__solver': 'liblinear'}",0.640406646,0.645798796,0.646832867,0.634863956,0.643393872,0.63859572,0.64415814,0.638894782,0.637849799,0.643425385,0.641421996,0.003674184,6,0.625077208,0.627547869,0.621062384,0.616121062,0.625077208,0.617819642,0.620907968,0.619209389,0.611951822,0.628011118,0.621278567,0.004934658,5,0.700394867,0.705206551,0.698969578,0.696829268,0.699653637,0.691895929,0.697697328,0.694877506,0.692448905,0.70553722,0.698351079,0.004429537,16,0.752984877,0.76121372,0.765037594,0.756620763,0.763086886,0.749865084,0.759110397,0.75200857,0.763975155,0.756685894,0.758058894,0.005034756,16,0.65467128,0.656876138,0.643405601,0.64579566,0.645957058,0.64224636,0.64547733,0.645814167,0.633169203,0.660865583,0.647427838,0.007614993,1
