,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_multinomialnb__alpha,param_multinomialnb__fit_prior,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision
0,0.012231183,0.002422508,0.010939169,0.002557957,0.0001,TRUE,"{'multinomialnb__alpha': 0.0001, 'multinomialnb__fit_prior': True}",0.588795516,0.592057517,0.588493887,0.581841945,0.587503921,0.577838163,0.58570038,0.583148836,0.578920621,0.588793728,0.585309451,0.004452724,14,0.58863496,0.595120445,0.585546634,0.58276714,0.585546634,0.572421248,0.590333539,0.583848054,0.576744904,0.589561458,0.585052502,0.006309867,12,0.657142857,0.666581892,0.655544148,0.655093184,0.654479918,0.641831587,0.659128871,0.651403441,0.65158256,0.661401274,0.655418973,0.006273731,19,0.677368002,0.691556728,0.685821697,0.679555085,0.685914733,0.669454938,0.687299035,0.674343867,0.692141507,0.680650236,0.682410583,0.007040991,19,0.638090477,0.643348061,0.627826942,0.632331198,0.625800098,0.616397516,0.633176993,0.629972479,0.615513929,0.6432111,0.630566879,0.009207116,9
1,0.011672401,0.000602329,0.010250211,0.000383244,0.000263665,TRUE,"{'multinomialnb__alpha': 0.00026366508987303583, 'multinomialnb__fit_prior': True}",0.588796202,0.592059482,0.588497302,0.581843711,0.587506064,0.577839234,0.58570165,0.583153524,0.578923786,0.588795993,0.585311695,0.004452615,13,0.58863496,0.595120445,0.585546634,0.58276714,0.585546634,0.572421248,0.590333539,0.583848054,0.576744904,0.589561458,0.585052502,0.006309867,12,0.657142857,0.666581892,0.655544148,0.655093184,0.654479918,0.641831587,0.659128871,0.651403441,0.65158256,0.661401274,0.655418973,0.006273731,19,0.677368002,0.691556728,0.685821697,0.679555085,0.685914733,0.669454938,0.687299035,0.674343867,0.692141507,0.680650236,0.682410583,0.007040991,19,0.638090477,0.643348061,0.627826942,0.632331198,0.625800098,0.616397516,0.633176993,0.629972479,0.615513929,0.6432111,0.630566879,0.009207116,9
2,0.011625934,0.000521977,0.010092688,0.000263351,0.000695193,TRUE,"{'multinomialnb__alpha': 0.0006951927961775605, 'multinomialnb__fit_prior': True}",0.58879924,0.59206567,0.588508621,0.581859797,0.587519604,0.5778443,0.585710634,0.58316417,0.578931966,0.588803183,0.585320719,0.004452118,12,0.58863496,0.595274861,0.585546634,0.58276714,0.585546634,0.572575664,0.590333539,0.583848054,0.576744904,0.589561458,0.585083385,0.006303893,11,0.657142857,0.66675143,0.655544148,0.655093184,0.654479918,0.642007243,0.659128871,0.651403441,0.65158256,0.661401274,0.655453492,0.00626623,18,0.677368002,0.69182058,0.685821697,0.679555085,0.685914733,0.669724771,0.687299035,0.674343867,0.692141507,0.680650236,0.682463951,0.007026409,18,0.638090477,0.643435583,0.627826942,0.632331198,0.625800098,0.616492797,0.633176993,0.629972479,0.615513929,0.6432111,0.63058516,0.009204675,8
3,0.011582041,0.000487247,0.010129023,0.000240413,0.001832981,TRUE,"{'multinomialnb__alpha': 0.0018329807108324356, 'multinomialnb__fit_prior': True}",0.588811296,0.59208345,0.588565508,0.581927574,0.587583604,0.577866705,0.585732312,0.583206363,0.578960403,0.588843566,0.585358078,0.004451222,11,0.588789376,0.595429277,0.585546634,0.58276714,0.585392217,0.572575664,0.590487956,0.584002471,0.576899321,0.589715874,0.585160593,0.006337562,10,0.657315661,0.666920926,0.655544148,0.655093184,0.654484622,0.642007243,0.659301131,0.651577858,0.65175394,0.661571774,0.655557049,0.006306233,17,0.677633324,0.692084433,0.685821697,0.679555085,0.686184566,0.669724771,0.687566988,0.674611676,0.692411558,0.680912428,0.682650653,0.007074369,17,0.63818091,0.643523062,0.627826942,0.632331198,0.625584256,0.616492797,0.633267522,0.630065033,0.615606242,0.64329948,0.630617744,0.009234835,4
4,0.012033749,0.000630143,0.010292506,0.000296814,0.00483293,TRUE,"{'multinomialnb__alpha': 0.004832930238571752, 'multinomialnb__fit_prior': True}",0.588874025,0.592175985,0.588770807,0.58214189,0.587808725,0.577972495,0.585844903,0.583345347,0.579065677,0.588997414,0.585499727,0.004453261,10,0.588943792,0.595274861,0.585546634,0.582612724,0.585237801,0.572421248,0.590642372,0.584156887,0.577208153,0.589715874,0.585176035,0.006329261,9,0.65748842,0.666836151,0.655544148,0.655009572,0.654400412,0.641924221,0.659473346,0.651662139,0.652008134,0.661571774,0.655591832,0.006306404,16,0.677898647,0.692084433,0.685821697,0.679555085,0.686184566,0.669724771,0.687834941,0.674611676,0.69268161,0.680912428,0.682730985,0.007112396,16,0.638271297,0.64336522,0.627826942,0.632175413,0.625430398,0.616339707,0.633358006,0.630222667,0.615846339,0.64329948,0.630613547,0.009212744,5
5,0.01156435,0.000406341,0.010048842,0.000201884,0.01274275,TRUE,"{'multinomialnb__alpha': 0.012742749857031334, 'multinomialnb__fit_prior': True}",0.589153853,0.592591607,0.589301717,0.582745802,0.588439666,0.578386693,0.586338038,0.583876668,0.579403509,0.589532337,0.585976989,0.004465537,9,0.588789376,0.595274861,0.585392217,0.58276714,0.585083385,0.572421248,0.590951204,0.584156887,0.577671402,0.589715874,0.585222359,0.006283985,8,0.657403834,0.667005463,0.655460028,0.655093184,0.654316223,0.641924221,0.659904994,0.651662139,0.6524336,0.661571774,0.655677546,0.006340013,15,0.677898647,0.692612137,0.685821697,0.679555085,0.686184566,0.669724771,0.6886388,0.674611676,0.693221712,0.680912428,0.682918152,0.007318155,15,0.638111888,0.6432247,0.627672647,0.632331198,0.625276617,0.616339707,0.63347301,0.630222667,0.616178589,0.64329948,0.63061305,0.009147246,6
6,0.012240958,0.000522134,0.010272741,0.00020252,0.033598183,TRUE,"{'multinomialnb__alpha': 0.03359818286283781, 'multinomialnb__fit_prior': True}",0.590137026,0.594078551,0.590495751,0.584469456,0.590082041,0.579686663,0.587941068,0.585378725,0.580464237,0.590855116,0.587358863,0.004487305,8,0.58863496,0.596201359,0.58570105,0.583384805,0.584928968,0.572266831,0.590333539,0.584156887,0.577671402,0.590487956,0.585376776,0.006445822,7,0.6574955,0.668105089,0.655805003,0.655955113,0.654232056,0.641841221,0.659478886,0.651932273,0.6524336,0.662423625,0.655970237,0.006595671,14,0.678429292,0.694459103,0.686358754,0.681144068,0.686184566,0.669724771,0.688370847,0.675415104,0.693221712,0.682223388,0.68355316,0.007360058,14,0.637814916,0.643678161,0.627855564,0.632562715,0.625122911,0.616186693,0.632914511,0.630027479,0.616178589,0.643740722,0.630608226,0.009265847,7
7,0.011774993,0.000507262,0.010241389,0.000308456,0.088586679,TRUE,"{'multinomialnb__alpha': 0.08858667904100823, 'multinomialnb__fit_prior': True}",0.592764766,0.597747531,0.593301347,0.588570994,0.593763065,0.582712686,0.59190802,0.588780059,0.583294663,0.593444138,0.590628727,0.004537336,7,0.590487956,0.597591106,0.585855466,0.586164299,0.586473132,0.573810994,0.591414453,0.584156887,0.578443484,0.590951204,0.586534898,0.006440548,6,0.659825552,0.669792195,0.656682028,0.659206511,0.656490508,0.64377904,0.661029977,0.652471287,0.653992395,0.663362562,0.657663205,0.006584274,13,0.682409127,0.697361478,0.68877551,0.686440678,0.690501889,0.672962763,0.691318328,0.67702196,0.696732379,0.684320923,0.686784504,0.007488994,13,0.63868885,0.644319844,0.627446184,0.634050881,0.625672372,0.617021277,0.633284242,0.629638854,0.616192978,0.643649815,0.63099653,0.009319863,3
8,0.012200975,0.000505231,0.010398531,0.000247503,0.233572147,TRUE,"{'multinomialnb__alpha': 0.23357214690901212, 'multinomialnb__fit_prior': True}",0.597779917,0.604048649,0.598901121,0.595477676,0.600041985,0.588255264,0.598579108,0.595001498,0.588773793,0.598323252,0.596518226,0.004642581,6,0.5928042,0.599444101,0.587399629,0.586781964,0.589252625,0.578134651,0.592958616,0.58693638,0.57983323,0.595120445,0.588866584,0.006248139,4,0.663605052,0.673052685,0.66013737,0.661694058,0.660107335,0.649023638,0.664032628,0.656743231,0.656482767,0.668604651,0.661348341,0.006339156,12,0.690103476,0.704485488,0.696831364,0.693061441,0.696977874,0.68159741,0.698017149,0.685324049,0.702133405,0.69349764,0.69420293,0.006738845,12,0.639066339,0.644305019,0.627114548,0.633043058,0.626941748,0.619421285,0.633203695,0.63045085,0.61640588,0.645436798,0.631538922,0.009140893,2
9,0.01207068,0.000551259,0.010223293,0.000294559,0.615848211,TRUE,"{'multinomialnb__alpha': 0.615848211066026, 'multinomialnb__fit_prior': True}",0.604994392,0.612494671,0.607198378,0.603440344,0.607824467,0.595797039,0.606780574,0.603809417,0.596691857,0.606471492,0.604550263,0.004794408,5,0.59867202,0.606856084,0.594039531,0.593267449,0.59697344,0.583848054,0.600525015,0.591877702,0.584620136,0.601451513,0.595213095,0.006895064,3,0.672876023,0.683490801,0.670344828,0.67075,0.670704012,0.658817572,0.675040824,0.666161425,0.665006227,0.678219673,0.671141138,0.006603941,11,0.709206686,0.725329815,0.717776584,0.710540254,0.717215326,0.702104695,0.719989282,0.706213176,0.721036997,0.713162035,0.714257485,0.006895464,11,0.640086207,0.646215327,0.628793225,0.635179924,0.62985782,0.620558073,0.635374793,0.630408798,0.617055697,0.646541478,0.633007134,0.009284013,1
