,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestclassifier__max_features,param_randomforestclassifier__n_estimators,param_randomforestclassifier__n_jobs,param_randomforestclassifier__random_state,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,split5_test_roc_auc,split6_test_roc_auc,split7_test_roc_auc,split8_test_roc_auc,split9_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,split5_test_f1,split6_test_f1,split7_test_f1,split8_test_f1,split9_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,split5_test_recall,split6_test_recall,split7_test_recall,split8_test_recall,split9_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,split5_test_precision,split6_test_precision,split7_test_precision,split8_test_precision,split9_test_precision,mean_test_precision,std_test_precision,rank_test_precision
0,5.303544736,0.313522016,0.654016662,0.145232738,1,10,-1,100,"{'randomforestclassifier__max_features': 1, 'randomforestclassifier__n_estimators': 10, 'randomforestclassifier__n_jobs': -1, 'randomforestclassifier__random_state': 100}",0.518221825,0.529108128,0.52161659,0.522676407,0.537489845,0.52612604,0.5286919,0.527197101,0.515297973,0.534325523,0.526075133,0.00651862,100,0.519765287,0.535361334,0.532581841,0.526714021,0.536133416,0.532118592,0.525787523,0.533508338,0.523162446,0.539067326,0.530420012,0.005918799,100,0.579274892,0.601298529,0.594507703,0.585978657,0.595584276,0.593288591,0.587397555,0.595852843,0.586613119,0.601628186,0.592142435,0.006804323,100,0.568055187,0.598680739,0.595864662,0.574417373,0.596869941,0.596330275,0.585744909,0.596411355,0.59168242,0.590980598,0.589503746,0.009909348,100,0.590946729,0.603939313,0.59315691,0.598014888,0.594304138,0.590277778,0.589059553,0.595295376,0.581629944,0.612666485,0.594929111,0.008110484,67
1,7.83369472,1.642084595,1.274015307,0.23942599,1,20,-1,100,"{'randomforestclassifier__max_features': 1, 'randomforestclassifier__n_estimators': 20, 'randomforestclassifier__n_jobs': -1, 'randomforestclassifier__random_state': 100}",0.535567066,0.539738152,0.53479078,0.535033447,0.548979555,0.543348478,0.534492581,0.542705331,0.533147995,0.540385436,0.538818882,0.004839064,97,0.550030883,0.554817789,0.549722051,0.550648548,0.556825201,0.556516368,0.547405806,0.560531192,0.542618901,0.556979617,0.552609636,0.005152532,95,0.641574416,0.6492274,0.641240157,0.644167278,0.646899606,0.650012186,0.639704978,0.653096051,0.634049914,0.645671236,0.644564322,0.005340468,94,0.691960732,0.703957784,0.699785177,0.697563559,0.709390178,0.719643821,0.69721329,0.717461168,0.692951661,0.685369691,0.701529706,0.010551372,94,0.598027975,0.602393317,0.591734787,0.59836438,0.594527363,0.592666667,0.590960709,0.599328859,0.584377135,0.610319869,0.596270106,0.006767164,55
2,11.17142932,0.609070905,1.264252782,0.176630225,1,30,-1,100,"{'randomforestclassifier__max_features': 1, 'randomforestclassifier__n_estimators': 30, 'randomforestclassifier__n_jobs': -1, 'randomforestclassifier__random_state': 100}",0.545379044,0.550203488,0.552673439,0.539131111,0.559838422,0.548999427,0.54326291,0.54477011,0.545808659,0.550015227,0.548008184,0.005432354,92,0.564082767,0.5643916,0.574891909,0.560531192,0.571031501,0.567943175,0.560994441,0.560067943,0.560067943,0.564854849,0.564885732,0.004781822,90,0.667451997,0.67277578,0.679174921,0.666275797,0.673330198,0.675631811,0.667290813,0.666900503,0.665256727,0.668782323,0.670287087,0.004417662,89,0.751658265,0.765171504,0.782491944,0.752383475,0.772531031,0.786292499,0.763933548,0.76379218,0.764515258,0.745936025,0.764870573,0.01232624,89,0.600211864,0.600289795,0.599958822,0.597853535,0.596706961,0.592276423,0.592354041,0.59182403,0.588810316,0.606092885,0.596637867,0.004998357,53
3,11.29090405,1.29075694,1.520554113,0.134016535,1,40,-1,100,"{'randomforestclassifier__max_features': 1, 'randomforestclassifier__n_estimators': 40, 'randomforestclassifier__n_jobs': -1, 'randomforestclassifier__random_state': 100}",0.553618445,0.551303151,0.561466234,0.55065472,0.558726019,0.547279804,0.546819388,0.549854775,0.550942117,0.556661871,0.552732652,0.004593136,90,0.569950587,0.572575664,0.581222977,0.571957999,0.572112415,0.57149475,0.56979617,0.56732551,0.571340334,0.576281655,0.572405806,0.003656407,86,0.682765691,0.68680697,0.694869487,0.685071575,0.683278089,0.686759228,0.684270172,0.68431726,0.683538532,0.68825267,0.685992967,0.003399761,84,0.795171133,0.800791557,0.829215897,0.798463983,0.806529951,0.820831085,0.808949625,0.813336904,0.809613827,0.794179339,0.80770833,0.010707651,83,0.598203593,0.601228209,0.597986057,0.599880621,0.592702756,0.590335727,0.592890809,0.590626215,0.591438153,0.607257418,0.596254956,0.00528757,56
4,18.66622555,2.132599252,2.16480329,0.125766874,1,50,-1,100,"{'randomforestclassifier__max_features': 1, 'randomforestclassifier__n_estimators': 50, 'randomforestclassifier__n_jobs': -1, 'randomforestclassifier__random_state': 100}",0.558378419,0.553949925,0.562513709,0.55591548,0.561405448,0.555151418,0.553648719,0.552344709,0.559393126,0.558278656,0.557097961,0.003252296,87,0.574737492,0.576899321,0.578443484,0.576127239,0.574274243,0.568869673,0.580759728,0.572112415,0.578289067,0.574274243,0.575478691,0.003247739,84,0.693181818,0.69609583,0.697875166,0.694966107,0.693086942,0.692849285,0.698098521,0.694116348,0.696589268,0.692402098,0.694926138,0.002016475,80,0.825417883,0.827968338,0.846670247,0.828125,0.839989207,0.849703184,0.841103966,0.841992501,0.846610856,0.813581542,0.836116272,0.01110429,78,0.597464951,0.600459242,0.593561747,0.598698066,0.589918514,0.584881129,0.596654628,0.590422535,0.591732729,0.60264129,0.594643483,0.005208847,70
5,23.75082924,0.847949812,2.494416881,0.217969263,1,60,-1,100,"{'randomforestclassifier__max_features': 1, 'randomforestclassifier__n_estimators': 60, 'randomforestclassifier__n_jobs': -1, 'randomforestclassifier__random_state': 100}",0.564234133,0.558182268,0.567517589,0.561436755,0.565300975,0.55847036,0.557153882,0.558306884,0.564332542,0.564590715,0.56195261,0.003506228,83,0.575200741,0.582921557,0.584928968,0.581686226,0.575818406,0.574274243,0.582921557,0.575972823,0.582458308,0.587708462,0.580389129,0.004446117,80,0.6993114,0.705291871,0.708838821,0.705511469,0.698165037,0.70152647,0.704129697,0.701196953,0.703573778,0.706979807,0.70345253,0.003216417,76,0.848766251,0.852770449,0.878625134,0.859375,0.8572585,0.87425796,0.861200429,0.862881628,0.866594653,0.844520189,0.860625019,0.010126734,71,0.594609665,0.601302326,0.594045025,0.598377282,0.588878591,0.585789188,0.595516027,0.590542522,0.592175678,0.60796527,0.594920158,0.006088079,68
6,29.11082673,0.854847294,2.490641522,0.191615314,1,70,-1,100,"{'randomforestclassifier__max_features': 1, 'randomforestclassifier__n_estimators': 70, 'randomforestclassifier__n_jobs': -1, 'randomforestclassifier__random_state': 100}",0.56634054,0.562994134,0.573264557,0.563473399,0.566186553,0.565350461,0.562978634,0.562129272,0.563913831,0.568638142,0.565526952,0.003192973,81,0.584928968,0.58570105,0.588326127,0.584928968,0.577671402,0.57273008,0.585392217,0.575355158,0.583848054,0.586473132,0.582535516,0.00501758,79,0.709907188,0.710914772,0.712839293,0.712697734,0.7041004,0.70314344,0.709384132,0.704173838,0.709496605,0.709039548,0.708569695,0.003362203,71,0.872645264,0.870448549,0.888560687,0.882944915,0.878035618,0.88424177,0.878081458,0.876539904,0.88873886,0.85553225,0.877576927,0.009386748,66,0.59832636,0.600801311,0.595143885,0.597491039,0.587682861,0.583615316,0.595060832,0.588457389,0.590419806,0.605380334,0.594237913,0.0063232,72
7,32.2084542,1.980640982,3.010645556,0.374796348,1,80,-1,100,"{'randomforestclassifier__max_features': 1, 'randomforestclassifier__n_estimators': 80, 'randomforestclassifier__n_jobs': -1, 'randomforestclassifier__random_state': 100}",0.57002805,0.564786679,0.57622198,0.570179349,0.570968972,0.568600046,0.566874203,0.560945959,0.564188898,0.569960626,0.568275476,0.004057097,77,0.585546634,0.589407041,0.587090797,0.587399629,0.578752316,0.574891909,0.585392217,0.576281655,0.584620136,0.590951204,0.584033354,0.00522913,76,0.71410311,0.716554738,0.714560205,0.715926005,0.708047945,0.707532136,0.712803508,0.708147203,0.713647009,0.715742032,0.712706389,0.00331561,66,0.889360573,0.886807388,0.898764769,0.891684322,0.892606584,0.898542903,0.892818864,0.891537225,0.90521199,0.874410068,0.892174469,0.007794304,60,0.596547428,0.601144697,0.593019135,0.598046181,0.586732884,0.583493955,0.593199217,0.587332392,0.589000176,0.605812897,0.593432896,0.006666953,77
8,37.89088244,2.32941334,2.966659737,0.167193425,1,90,-1,100,"{'randomforestclassifier__max_features': 1, 'randomforestclassifier__n_estimators': 90, 'randomforestclassifier__n_jobs': -1, 'randomforestclassifier__random_state': 100}",0.572855003,0.568379283,0.576686148,0.569211246,0.574513522,0.571071207,0.57240117,0.563051758,0.565934249,0.571524568,0.570562816,0.003838679,76,0.58570105,0.589561458,0.588480544,0.587862878,0.580296479,0.580296479,0.584002471,0.579369981,0.586164299,0.593421865,0.58551575,0.004337862,72,0.7152107,0.72044594,0.71742127,0.719082202,0.711158342,0.714015152,0.714316013,0.713323511,0.716402116,0.718966805,0.716034205,0.002797177,61,0.893871053,0.903693931,0.908431794,0.904661017,0.902860227,0.915542364,0.902465166,0.907605785,0.914123683,0.883062402,0.903631742,0.009012022,55,0.596072187,0.598985659,0.592780796,0.596681223,0.586605891,0.585201794,0.591084591,0.587552011,0.589002958,0.60630063,0.593026774,0.006219227,81
9,39.37646337,2.254853667,3.167299747,0.337431132,1,100,-1,100,"{'randomforestclassifier__max_features': 1, 'randomforestclassifier__n_estimators': 100, 'randomforestclassifier__n_jobs': -1, 'randomforestclassifier__random_state': 100}",0.57522237,0.573332898,0.581111257,0.572271755,0.575500165,0.576767794,0.575739107,0.566872436,0.570571477,0.573550449,0.574093971,0.003620807,73,0.587554046,0.594657196,0.591105621,0.589098209,0.580142063,0.580450896,0.588943792,0.58153181,0.584002471,0.594348363,0.587183447,0.005161849,59,0.718278663,0.724986904,0.721614802,0.720981441,0.712183762,0.715705765,0.719435076,0.716527197,0.716719243,0.722039996,0.718847285,0.003534883,56,0.903422659,0.91292876,0.921589689,0.910487288,0.907717215,0.922827847,0.914523044,0.91724692,0.920334864,0.894598846,0.912567713,0.008409586,49,0.596113445,0.601216334,0.592950933,0.596771394,0.585960634,0.584515467,0.592946491,0.587881909,0.586877906,0.6052865,0.593052101,0.006538931,80
